Session ID,Path,DS Type 1 N,DS Type 2 N
m46s1,D:\PTEN\CTL\PTENDKOm46\m46s1jan15\2025-01-15_14-32-19,34,8
m59s4,D:\PTEN\CTL\PTENDKOM59\m59s4jul7\2025-07-07_12-52-42,256,159
m59s10,D:\PTEN\CTL\PTENDKOM59\m59s10jul7\2025-07-07_16-42-40,211,162
m59s11,D:\PTEN\CTL\PTENDKOM59\m59s11jul8\2025-07-09_12-19-54,188,332
m60s1,D:\PTEN\CTL\PTENDKOM60\m60s1jul10\2025-07-10_11-41-45,74,450
m41s1,D:\PTEN\PTEN_DKO\PTENDKOM41\M41s1nov26\2024-11-26_11-55-25,910,74
m41s6,D:\PTEN\PTEN_DKO\PTENDKOM41\M41s6nov26\2024-11-26_16-16-02,630,42
m56s8,D:\PTEN\PTEN_DKO\PTENDKOm56\m56s8_06192025\2025-06-19_16-39-58,63,28
m1s2,D:\PTEN\PTEN\M1_Pten\M1ptens2oct2\2023-10-02_16-58-03,34,39
m29s1,D:\PTEN\PTEN\m29_ptenblind\m29s1jul23\2024-07-23_13-03-51,16,14
m29s4,D:\PTEN\PTEN\m29_ptenblind\m29s4jul23\2024-07-23_15-31-49,32,26
m8s2,D:\PTEN\PTEN\M8_Pten\M8s2feb6\2024-02-06_17-52-07,1,4
m8s9,D:\PTEN\PTEN\M8_Pten\M8s9feb8\2024-02-09_16-43-46,503,721
m13s2,D:\PTEN\PTEN\M13_pten\HF4s2aug1\2023-08-01_12-11-26,261,92
m34s8,D:\PTEN\PTEN\M34_ptenblind\m34s8jun10\2024-06-10_17-00-07,100,62
m5s7,D:\PTEN\PTEN\M5_Pten\M5s7nov17\2023-11-17_14-23-24,174,413
